date,winner,win_score,loser,lose_score,extra_time
2017-01-25,Edmonton Oilers,4,Anaheim Ducks,0,n/a
2017-01-25,Vancouver Canucks,3,Colorado Avalanche,2,n/a
2017-01-25,Toronto Maple Leafs,4,Detroit Red Wings,0,n/a
2017-01-25,Philadelphia Flyers,2,New York Rangers,0,n/a
2017-01-26,Arizona Coyotes,3,Vancouver Canucks,0,n/a
2017-01-26,Boston Bruins,4,Pittsburgh Penguins,3,n/a
2017-01-26,Los Angeles Kings,3,Carolina Hurricanes,0,n/a
2017-01-26,Winnipeg Jets,5,Chicago Blackhawks,3,n/a
2017-01-26,Dallas Stars,4,Buffalo Sabres,3,n/a
2017-01-26,Florida Panthers,2,Tampa Bay Lightning,1,OT
2017-01-26,Minnesota Wild,5,St. Louis Blues,1,n/a
2017-01-26,Washington Capitals,5,New Jersey Devils,2,n/a
2017-01-26,Nashville Predators,4,Columbus Blue Jackets,3,n/a
2017-01-26,New York Islanders,3,Montreal Canadiens,1,n/a
2017-01-26,Calgary Flames,3,Ottawa Senators,2,OT
2017-01-26,Philadelphia Flyers,2,Toronto Maple Leafs,1,n/a
2017-01-26,Edmonton Oilers,4,San Jose Sharks,1,n/a
2017-01-31,Anaheim Ducks,5,Colorado Avalanche,1,n/a
2017-01-31,Los Angeles Kings,3,Arizona Coyotes,2,n/a
2017-01-31,Carolina Hurricanes,5,Philadelphia Flyers,1,n/a
2017-01-31,Dallas Stars,6,Toronto Maple Leafs,3,n/a
2017-01-31,New Jersey Devils,4,Detroit Red Wings,3,n/a
2017-01-31,Minnesota Wild,5,Edmonton Oilers,2,n/a
2017-01-31,Florida Panthers,6,Ottawa Senators,5,n/a
2017-01-31,Montreal Canadiens,5,Buffalo Sabres,2,n/a
2017-01-31,New York Islanders,3,Washington Capitals,2,n/a
2017-01-31,Columbus Blue Jackets,6,New York Rangers,4,n/a
2017-01-31,Pittsburgh Penguins,4,Nashville Predators,2,n/a
2017-01-31,San Jose Sharks,3,Chicago Blackhawks,1,n/a
2017-01-31,Winnipeg Jets,5,St. Louis Blues,3,n/a
2017-01-31,Boston Bruins,4,Tampa Bay Lightning,3,n/a
2017-02-01,Calgary Flames,5,Minnesota Wild,1,n/a
2017-02-01,Los Angeles Kings,5,Colorado Avalanche,0,n/a
2017-02-01,Washington Capitals,5,Boston Bruins,3,n/a
2017-02-02,Chicago Blackhawks,4,Arizona Coyotes,3,n/a
2017-02-02,New York Rangers,2,Buffalo Sabres,1,OT
2017-02-02,Winnipeg Jets,4,Dallas Stars,3,n/a
2017-02-02,Nashville Predators,2,Edmonton Oilers,0,n/a
2017-02-02,Philadelphia Flyers,3,Montreal Canadiens,1,n/a
2017-02-02,St. Louis Blues,5,Toronto Maple Leafs,1,n/a
2017-02-02,Ottawa Senators,5,Tampa Bay Lightning,2,n/a
2017-02-02,San Jose Sharks,4,Vancouver Canucks,1,n/a
2017-02-03,Carolina Hurricanes,2,Edmonton Oilers,1,n/a
2017-02-03,Detroit Red Wings,5,New York Islanders,4,n/a
2017-02-03,Florida Panthers,2,Anaheim Ducks,1,n/a
2017-02-03,Calgary Flames,4,New Jersey Devils,3,OT
2017-02-03,Pittsburgh Penguins,4,Columbus Blue Jackets,3,OT
2017-02-04,Toronto Maple Leafs,6,Boston Bruins,5,n/a
2017-02-04,Buffalo Sabres,4,Ottawa Senators,0,n/a
2017-02-04,New Jersey Devils,5,Columbus Blue Jackets,1,n/a
2017-02-04,Colorado Avalanche,5,Winnipeg Jets,2,n/a
2017-02-04,Chicago Blackhawks,5,Dallas Stars,3,n/a
2017-02-04,Washington Capitals,3,Montreal Canadiens,2,n/a
2017-02-04,Detroit Red Wings,1,Nashville Predators,0,n/a
2017-02-04,Carolina Hurricanes,5,New York Islanders,4,OT
2017-02-04,Los Angeles Kings,1,Philadelphia Flyers,0,OT
2017-02-04,Arizona Coyotes,3,San Jose Sharks,2,SO
2017-02-04,Pittsburgh Penguins,4,St. Louis Blues,1,n/a
2017-02-04,Tampa Bay Lightning,3,Anaheim Ducks,2,SO
2017-02-04,Minnesota Wild,6,Vancouver Canucks,3,n/a
2017-02-05,Edmonton Oilers,1,Montreal Canadiens,0,SO
2017-02-05,New York Rangers,4,Calgary Flames,3,n/a
2017-02-05,Washington Capitals,5,Los Angeles Kings,0,n/a
2017-02-06,New Jersey Devils,2,Buffalo Sabres,1,n/a
2017-02-06,New York Islanders,6,Toronto Maple Leafs,5,OT
2017-02-06,St. Louis Blues,2,Philadelphia Flyers,0,n/a
2017-02-07,Buffalo Sabres,5,San Jose Sharks,4,OT
2017-02-07,Colorado Avalanche,4,Montreal Canadiens,0,n/a
2017-02-07,Columbus Blue Jackets,3,Detroit Red Wings,2,OT
2017-02-07,Nashville Predators,4,Vancouver Canucks,2,n/a
2017-02-07,New York Rangers,4,Anaheim Ducks,1,n/a
2017-02-07,St. Louis Blues,6,Ottawa Senators,0,n/a
2017-02-07,Calgary Flames,3,Pittsburgh Penguins,2,SO
2017-02-07,Tampa Bay Lightning,5,Los Angeles Kings,0,n/a
2017-02-07,Toronto Maple Leafs,3,Dallas Stars,1,n/a
2017-02-07,Minnesota Wild,4,Winnipeg Jets,2,n/a
2017-02-07,Washington Capitals,5,Carolina Hurricanes,0,n/a
2017-02-08,Chicago Blackhawks,4,Minnesota Wild,3,OT
2017-02-09,Montreal Canadiens,5,Arizona Coyotes,4,OT
2017-02-09,Boston Bruins,6,San Jose Sharks,3,n/a
2017-02-09,Anaheim Ducks,5,Buffalo Sabres,2,n/a
2017-02-09,Vancouver Canucks,3,Columbus Blue Jackets,0,n/a
2017-02-09,Pittsburgh Penguins,4,Colorado Avalanche,1,n/a
2017-02-09,Los Angeles Kings,6,Florida Panthers,3,n/a
2017-02-09,New York Rangers,4,Nashville Predators,3,n/a
2017-02-09,Ottawa Senators,3,Dallas Stars,2,n/a
2017-02-09,New York Islanders,3,Philadelphia Flyers,1,n/a
2017-02-09,St. Louis Blues,2,Toronto Maple Leafs,1,OT
2017-02-09,Washington Capitals,6,Detroit Red Wings,3,n/a
2017-02-10,Minnesota Wild,2,Tampa Bay Lightning,1,SO
2017-02-10,Chicago Blackhawks,5,Winnipeg Jets,2,n/a
2017-02-11,Arizona Coyotes,4,Pittsburgh Penguins,3,OT
2017-02-11,Boston Bruins,4,Vancouver Canucks,3,n/a
2017-02-11,Columbus Blue Jackets,2,Detroit Red Wings,1,n/a
2017-02-11,Dallas Stars,5,Carolina Hurricanes,2,n/a
2017-02-11,Chicago Blackhawks,5,Edmonton Oilers,1,n/a
2017-02-11,St. Louis Blues,4,Montreal Canadiens,2,n/a
2017-02-11,Florida Panthers,7,Nashville Predators,4,n/a
2017-02-11,New York Rangers,4,Colorado Avalanche,2,n/a
2017-02-11,Ottawa Senators,3,New York Islanders,0,n/a
2017-02-11,Philadelphia Flyers,2,San Jose Sharks,1,OT
2017-02-11,Buffalo Sabres,3,Toronto Maple Leafs,1,n/a
2017-02-11,Tampa Bay Lightning,4,Winnipeg Jets,1,n/a
2017-02-11,Washington Capitals,6,Anaheim Ducks,4,n/a
2017-02-12,Boston Bruins,4,Montreal Canadiens,0,n/a
2017-02-12,Vancouver Canucks,4,Buffalo Sabres,2,n/a
2017-02-12,Minnesota Wild,6,Detroit Red Wings,3,n/a
2017-02-12,San Jose Sharks,4,New Jersey Devils,1,n/a
2017-02-12,Nashville Predators,5,Dallas Stars,3,n/a
2017-02-12,New York Islanders,5,Colorado Avalanche,1,n/a
2017-02-13,New York Rangers,3,Columbus Blue Jackets,2,n/a
2017-02-13,Arizona Coyotes,5,Calgary Flames,0,n/a
2017-02-14,Edmonton Oilers,5,Arizona Coyotes,2,n/a
2017-02-14,Anaheim Ducks,1,Minnesota Wild,0,n/a
2017-02-14,New Jersey Devils,3,Colorado Avalanche,2,n/a
2017-02-14,Buffalo Sabres,3,Ottawa Senators,2,n/a
2017-02-14,Pittsburgh Penguins,4,Vancouver Canucks,0,n/a
2017-02-14,Toronto Maple Leafs,7,New York Islanders,1,n/a
2017-02-14,Winnipeg Jets,5,Dallas Stars,2,n/a
2017-02-15,Columbus Blue Jackets,5,Toronto Maple Leafs,2,n/a
2017-02-15,Calgary Flames,3,Philadelphia Flyers,1,n/a
2017-02-15,St. Louis Blues,2,Detroit Red Wings,0,n/a
2017-02-15,Florida Panthers,6,San Jose Sharks,5,OT
2017-02-16,Buffalo Sabres,2,Colorado Avalanche,0,n/a
2017-02-16,Edmonton Oilers,6,Philadelphia Flyers,3,n/a
2017-02-16,Arizona Coyotes,5,Los Angeles Kings,3,n/a
2017-02-16,Minnesota Wild,3,Dallas Stars,1,n/a
2017-02-16,Ottawa Senators,3,New Jersey Devils,0,n/a
2017-02-16,New York Islanders,4,New York Rangers,2,n/a
2017-02-16,Pittsburgh Penguins,4,Winnipeg Jets,3,OT
2017-02-16,St. Louis Blues,4,Vancouver Canucks,3,n/a
2017-02-17,Florida Panthers,4,Anaheim Ducks,1,n/a
2017-02-17,Colorado Avalanche,2,Carolina Hurricanes,1,OT
2017-02-17,Columbus Blue Jackets,2,Pittsburgh Penguins,1,OT
2017-02-18,San Jose Sharks,4,Arizona Coyotes,1,n/a
2017-02-18,Buffalo Sabres,3,St. Louis Blues,2,n/a
2017-02-18,Edmonton Oilers,3,Chicago Blackhawks,1,n/a
2017-02-18,Dallas Stars,4,Tampa Bay Lightning,3,OT
2017-02-18,Detroit Red Wings,3,Washington Capitals,2,SO
2017-02-18,Florida Panthers,3,Los Angeles Kings,2,n/a
2017-02-18,Minnesota Wild,5,Nashville Predators,2,n/a
2017-02-18,Winnipeg Jets,3,Montreal Canadiens,1,n/a
2017-02-18,New Jersey Devils,3,New York Islanders,2,n/a
2017-02-18,Ottawa Senators,6,Toronto Maple Leafs,3,n/a
2017-02-18,Vancouver Canucks,2,Calgary Flames,1,OT
2017-02-19,Anaheim Ducks,1,Los Angeles Kings,0,n/a
2017-02-19,Chicago Blackhawks,5,Buffalo Sabres,1,n/a
2017-02-19,Toronto Maple Leafs,4,Carolina Hurricanes,0,n/a
2017-02-19,Nashville Predators,4,Columbus Blue Jackets,3,n/a
2017-02-19,Tampa Bay Lightning,3,Colorado Avalanche,2,OT
2017-02-19,New York Islanders,6,New Jersey Devils,4,n/a
2017-02-19,New York Rangers,2,Washington Capitals,1,n/a
2017-02-19,Winnipeg Jets,3,Ottawa Senators,2,n/a
2017-02-19,Detroit Red Wings,5,Pittsburgh Penguins,2,n/a
2017-02-19,Boston Bruins,2,San Jose Sharks,1,OT
2017-02-19,Philadelphia Flyers,3,Vancouver Canucks,2,n/a
2017-02-20,Arizona Coyotes,3,Anaheim Ducks,2,n/a
2017-02-20,Florida Panthers,2,St. Louis Blues,1,n/a
2017-02-21,Pittsburgh Penguins,3,Carolina Hurricanes,1,n/a
2017-02-21,Los Angeles Kings,2,Colorado Avalanche,1,n/a
2017-02-21,New York Islanders,3,Detroit Red Wings,1,n/a
2017-02-21,Chicago Blackhawks,5,Minnesota Wild,3,n/a
2017-02-21,Ottawa Senators,2,New Jersey Devils,1,n/a
2017-02-21,Calgary Flames,6,Nashville Predators,5,OT
2017-02-21,Montreal Canadiens,3,New York Rangers,2,SO
2017-02-21,Tampa Bay Lightning,4,Edmonton Oilers,1,n/a
2017-02-21,Toronto Maple Leafs,5,Winnipeg Jets,4,OT
2017-02-22,Anaheim Ducks,5,Boston Bruins,3,n/a
2017-02-22,Edmonton Oilers,4,Florida Panthers,3,n/a
2017-02-22,Washington Capitals,4,Philadelphia Flyers,1,n/a
2017-02-23,Chicago Blackhawks,6,Arizona Coyotes,3,n/a
2017-02-23,Boston Bruins,4,Los Angeles Kings,1,n/a
2017-02-23,New York Islanders,3,Montreal Canadiens,0,n/a
2017-02-23,Nashville Predators,4,Colorado Avalanche,2,n/a
2017-02-23,Calgary Flames,3,Tampa Bay Lightning,2,n/a
2017-02-23,New York Rangers,2,Toronto Maple Leafs,1,SO
2017-02-24,Carolina Hurricanes,3,Ottawa Senators,0,n/a
2017-02-24,Dallas Stars,5,Arizona Coyotes,2,n/a
2017-02-24,Calgary Flames,4,Florida Panthers,2,n/a
2017-02-24,Washington Capitals,2,Edmonton Oilers,1,n/a
2017-02-25,Columbus Blue Jackets,7,New York Islanders,0,n/a
2017-02-25,Colorado Avalanche,5,Buffalo Sabres,3,n/a
2017-02-25,Los Angeles Kings,4,Anaheim Ducks,1,n/a
2017-02-25,New York Rangers,4,New Jersey Devils,3,OT
2017-02-25,Nashville Predators,5,Washington Capitals,2,n/a
2017-02-25,Pittsburgh Penguins,4,Philadelphia Flyers,2,n/a
2017-02-25,Montreal Canadiens,3,Toronto Maple Leafs,2,OT
2017-02-25,San Jose Sharks,4,Vancouver Canucks,1,n/a
2017-02-26,Arizona Coyotes,3,Buffalo Sabres,2,n/a
2017-02-26,Calgary Flames,3,Carolina Hurricanes,1,n/a
2017-02-26,Chicago Blackhawks,4,St. Louis Blues,2,n/a
2017-02-26,Boston Bruins,6,Dallas Stars,3,n/a
2017-02-26,Ottawa Senators,2,Florida Panthers,1,n/a
2017-02-26,Nashville Predators,5,Edmonton Oilers,4,n/a
2017-02-26,Columbus Blue Jackets,5,New York Rangers,2,n/a
2017-02-27,Minnesota Wild,5,Los Angeles Kings,4,OT
2017-02-27,Montreal Canadiens,4,New Jersey Devils,3,OT
2017-02-27,Tampa Bay Lightning,5,Ottawa Senators,1,n/a
2017-02-28,Boston Bruins,4,Arizona Coyotes,1,n/a
2017-02-28,Nashville Predators,5,Buffalo Sabres,4,OT
2017-02-28,Calgary Flames,2,Los Angeles Kings,1,OT
2017-02-28,Dallas Stars,3,Pittsburgh Penguins,2,n/a
2017-02-28,Florida Panthers,3,Carolina Hurricanes,2,SO
2017-02-28,Montreal Canadiens,1,Columbus Blue Jackets,0,OT
2017-02-28,Washington Capitals,4,New York Rangers,1,n/a
2017-02-28,Philadelphia Flyers,4,Colorado Avalanche,0,n/a
2017-02-28,San Jose Sharks,3,Toronto Maple Leafs,1,n/a
2017-02-28,Edmonton Oilers,2,St. Louis Blues,1,n/a
2017-02-28,Detroit Red Wings,3,Vancouver Canucks,2,OT
2017-02-28,Minnesota Wild,6,Winnipeg Jets,5,n/a
2017-03-01,Chicago Blackhawks,4,Pittsburgh Penguins,1,n/a
2017-03-01,Tampa Bay Lightning,4,Carolina Hurricanes,3,OT
2017-03-02,New York Rangers,2,Boston Bruins,1,n/a
2017-03-02,Buffalo Sabres,6,Arizona Coyotes,3,n/a
2017-03-02,Columbus Blue Jackets,1,Minnesota Wild,0,n/a
2017-03-02,New York Islanders,5,Dallas Stars,4,n/a
2017-03-02,Los Angeles Kings,3,Toronto Maple Leafs,2,SO
2017-03-02,Montreal Canadiens,2,Nashville Predators,1,n/a
2017-03-02,Ottawa Senators,2,Colorado Avalanche,1,n/a
2017-03-02,Philadelphia Flyers,2,Florida Panthers,1,SO
2017-03-02,San Jose Sharks,3,Vancouver Canucks,1,n/a
2017-03-02,Washington Capitals,1,New Jersey Devils,0,n/a
2017-03-03,Anaheim Ducks,5,Toronto Maple Leafs,2,n/a
2017-03-03,Arizona Coyotes,4,Carolina Hurricanes,2,n/a
2017-03-03,Calgary Flames,3,Detroit Red Wings,2,OT
2017-03-03,Chicago Blackhawks,2,New York Islanders,1,SO
2017-03-03,Pittsburgh Penguins,5,Tampa Bay Lightning,2,n/a
2017-03-03,Winnipeg Jets,3,St. Louis Blues,0,n/a
2017-03-04,Boston Bruins,3,New Jersey Devils,2,n/a
2017-03-04,Tampa Bay Lightning,2,Buffalo Sabres,1,SO
2017-03-04,Edmonton Oilers,4,Detroit Red Wings,3,n/a
2017-03-04,Dallas Stars,2,Florida Panthers,1,n/a
2017-03-04,Vancouver Canucks,4,Los Angeles Kings,3,n/a
2017-03-04,Chicago Blackhawks,5,Nashville Predators,3,n/a
2017-03-04,Montreal Canadiens,4,New York Rangers,1,n/a
2017-03-04,Ottawa Senators,3,Columbus Blue Jackets,2,n/a
2017-03-04,Winnipeg Jets,6,Colorado Avalanche,1,n/a
2017-03-04,Washington Capitals,2,Philadelphia Flyers,1,OT
2017-03-05,Vancouver Canucks,2,Anaheim Ducks,1,n/a
2017-03-05,Carolina Hurricanes,2,Arizona Coyotes,1,n/a
2017-03-05,Calgary Flames,5,New York Islanders,2,n/a
2017-03-05,St. Louis Blues,3,Colorado Avalanche,0,n/a
2017-03-05,Minnesota Wild,3,San Jose Sharks,1,n/a
2017-03-05,Columbus Blue Jackets,3,New Jersey Devils,0,n/a
2017-03-05,Pittsburgh Penguins,4,Buffalo Sabres,3,n/a
2017-03-06,Ottawa Senators,4,Boston Bruins,2,n/a
2017-03-06,New York Rangers,1,Tampa Bay Lightning,0,OT
2017-03-06,San Jose Sharks,3,Winnipeg Jets,2,n/a
2017-03-06,Dallas Stars,4,Washington Capitals,2,n/a
2017-03-07,Anaheim Ducks,4,Nashville Predators,3,SO
2017-03-07,Philadelphia Flyers,6,Buffalo Sabres,3,n/a
2017-03-07,Columbus Blue Jackets,2,New Jersey Devils,0,n/a
2017-03-07,Colorado Avalanche,3,Carolina Hurricanes,1,n/a
2017-03-07,New York Islanders,4,Edmonton Oilers,1,n/a
2017-03-07,New York Rangers,5,Florida Panthers,2,n/a
2017-03-07,St. Louis Blues,2,Minnesota Wild,1,n/a
2017-03-07,Toronto Maple Leafs,3,Detroit Red Wings,2,n/a
2017-03-07,Montreal Canadiens,2,Vancouver Canucks,1,OT
2017-03-08,Boston Bruins,6,Detroit Red Wings,1,n/a
2017-03-08,Ottawa Senators,5,Dallas Stars,2,n/a
2017-03-08,Pittsburgh Penguins,7,Winnipeg Jets,4,n/a
2017-03-09,Ottawa Senators,3,Arizona Coyotes,2,OT
2017-03-09,Carolina Hurricanes,4,New York Rangers,3,n/a
2017-03-09,Calgary Flames,5,Montreal Canadiens,0,n/a
2017-03-09,Anaheim Ducks,1,Chicago Blackhawks,0,n/a
2017-03-09,Colorado Avalanche,3,New Jersey Devils,2,n/a
2017-03-09,Los Angeles Kings,3,Nashville Predators,2,OT
2017-03-09,San Jose Sharks,4,Washington Capitals,2,n/a
2017-03-09,Tampa Bay Lightning,4,Minnesota Wild,1,n/a
2017-03-09,Toronto Maple Leafs,4,Philadelphia Flyers,2,n/a
2017-03-09,New York Islanders,4,Vancouver Canucks,3,OT
2017-03-10,Columbus Blue Jackets,4,Buffalo Sabres,3,n/a
2017-03-10,Detroit Red Wings,4,Chicago Blackhawks,2,n/a
2017-03-10,Pittsburgh Penguins,3,Edmonton Oilers,2,SO
2017-03-10,Minnesota Wild,7,Florida Panthers,4,n/a
2017-03-10,St. Louis Blues,4,Anaheim Ducks,3,n/a
2017-03-11,Arizona Coyotes,5,New Jersey Devils,4,n/a
2017-03-11,Boston Bruins,2,Philadelphia Flyers,1,n/a
2017-03-11,Buffalo Sabres,5,Columbus Blue Jackets,3,n/a
2017-03-11,Toronto Maple Leafs,3,Carolina Hurricanes,2,OT
2017-03-11,Ottawa Senators,4,Colorado Avalanche,2,n/a
2017-03-11,Los Angeles Kings,4,Washington Capitals,2,n/a
2017-03-11,Nashville Predators,3,San Jose Sharks,1,n/a
2017-03-11,St. Louis Blues,4,New York Islanders,3,n/a
2017-03-11,Tampa Bay Lightning,3,Florida Panthers,2,n/a
2017-03-11,Pittsburgh Penguins,3,Vancouver Canucks,0,n/a
2017-03-11,Calgary Flames,3,Winnipeg Jets,0,n/a
2017-03-12,Anaheim Ducks,5,Washington Capitals,2,n/a
2017-03-12,Chicago Blackhawks,4,Minnesota Wild,2,n/a
2017-03-12,New York Rangers,4,Detroit Red Wings,1,n/a
2017-03-12,Montreal Canadiens,4,Edmonton Oilers,1,n/a
2017-03-12,San Jose Sharks,5,Dallas Stars,1,n/a
2017-03-13,Arizona Coyotes,1,Colorado Avalanche,0,n/a
2017-03-13,Calgary Flames,4,Pittsburgh Penguins,3,SO
2017-03-13,St. Louis Blues,3,Los Angeles Kings,1,n/a
2017-03-13,Nashville Predators,5,Winnipeg Jets,4,OT
2017-03-13,Carolina Hurricanes,8,New York Islanders,4,n/a
2017-03-13,Tampa Bay Lightning,3,New York Rangers,2,n/a
2017-03-13,Columbus Blue Jackets,5,Philadelphia Flyers,3,n/a
2017-03-13,Boston Bruins,6,Vancouver Canucks,3,n/a
2017-03-14,New York Islanders,3,Carolina Hurricanes,2,OT
2017-03-14,Edmonton Oilers,7,Dallas Stars,1,n/a
2017-03-14,Florida Panthers,7,Toronto Maple Leafs,2,n/a
2017-03-14,Arizona Coyotes,3,Los Angeles Kings,2,SO
2017-03-14,Chicago Blackhawks,4,Montreal Canadiens,2,n/a
2017-03-14,Tampa Bay Lightning,2,Ottawa Senators,1,OT
2017-03-14,San Jose Sharks,4,Buffalo Sabres,1,n/a
2017-03-14,Washington Capitals,4,Minnesota Wild,2,n/a
2017-03-15,Anaheim Ducks,2,St. Louis Blues,1,n/a
2017-03-15,Boston Bruins,5,Calgary Flames,2,n/a
2017-03-15,Colorado Avalanche,3,Detroit Red Wings,1,n/a
2017-03-15,Philadelphia Flyers,4,Pittsburgh Penguins,0,n/a
2017-03-16,Detroit Red Wings,5,Arizona Coyotes,4,SO
2017-03-16,Carolina Hurricanes,3,Minnesota Wild,1,n/a
2017-03-16,Columbus Blue Jackets,2,Florida Panthers,1,n/a
2017-03-16,Edmonton Oilers,7,Boston Bruins,4,n/a
2017-03-16,Los Angeles Kings,2,Buffalo Sabres,0,n/a
2017-03-16,New Jersey Devils,6,Philadelphia Flyers,2,n/a
2017-03-16,Winnipeg Jets,4,New York Islanders,2,n/a
2017-03-16,Chicago Blackhawks,2,Ottawa Senators,1,n/a
2017-03-16,St. Louis Blues,4,San Jose Sharks,1,n/a
2017-03-16,Toronto Maple Leafs,5,Tampa Bay Lightning,0,n/a
2017-03-16,Dallas Stars,4,Vancouver Canucks,2,n/a
2017-03-16,Nashville Predators,2,Washington Capitals,1,OT
2017-03-17,Buffalo Sabres,2,Anaheim Ducks,1,SO
2017-03-17,Calgary Flames,3,Dallas Stars,1,n/a
2017-03-17,Florida Panthers,4,New York Rangers,3,SO
2017-03-17,Pittsburgh Penguins,6,New Jersey Devils,4,n/a
2017-03-18,St. Louis Blues,3,Arizona Coyotes,0,n/a
2017-03-18,Carolina Hurricanes,4,Nashville Predators,2,n/a
2017-03-18,Detroit Red Wings,5,Colorado Avalanche,1,n/a
2017-03-18,Edmonton Oilers,2,Vancouver Canucks,0,n/a
2017-03-18,New York Rangers,3,Minnesota Wild,2,n/a
2017-03-18,Columbus Blue Jackets,3,New York Islanders,2,OT
2017-03-18,Montreal Canadiens,4,Ottawa Senators,3,SO
2017-03-18,Anaheim Ducks,2,San Jose Sharks,1,n/a
2017-03-18,Washington Capitals,5,Tampa Bay Lightning,3,n/a
2017-03-18,Chicago Blackhawks,2,Toronto Maple Leafs,1,OT
2017-03-19,Calgary Flames,5,Los Angeles Kings,2,n/a
2017-03-19,Chicago Blackhawks,6,Colorado Avalanche,3,n/a
2017-03-19,Montreal Canadiens,4,Ottawa Senators,1,n/a
2017-03-19,Columbus Blue Jackets,4,New Jersey Devils,1,n/a
2017-03-19,Philadelphia Flyers,4,Carolina Hurricanes,3,OT
2017-03-19,Pittsburgh Penguins,4,Florida Panthers,0,n/a
2017-03-19,Winnipeg Jets,5,Minnesota Wild,4,n/a
2017-03-20,Dallas Stars,1,San Jose Sharks,0,n/a
2017-03-20,Buffalo Sabres,2,Detroit Red Wings,1,n/a
2017-03-20,Edmonton Oilers,2,Los Angeles Kings,0,n/a
2017-03-20,Nashville Predators,3,Arizona Coyotes,1,n/a
2017-03-20,Toronto Maple Leafs,4,Boston Bruins,2,n/a
2017-03-21,Ottawa Senators,3,Boston Bruins,2,n/a
2017-03-21,Pittsburgh Penguins,3,Buffalo Sabres,1,n/a
2017-03-21,Vancouver Canucks,5,Chicago Blackhawks,4,OT
2017-03-21,St. Louis Blues,4,Colorado Avalanche,2,n/a
2017-03-21,Carolina Hurricanes,4,Florida Panthers,3,n/a
2017-03-21,Minnesota Wild,3,San Jose Sharks,2,n/a
2017-03-21,Detroit Red Wings,2,Montreal Canadiens,1,OT
2017-03-21,New Jersey Devils,3,New York Rangers,2,OT
2017-03-21,Arizona Coyotes,5,Tampa Bay Lightning,3,n/a
2017-03-21,Winnipeg Jets,3,Philadelphia Flyers,2,n/a
2017-03-21,Washington Capitals,4,Calgary Flames,2,n/a
